"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,547377,372528,28208,1887
2,555788,361351,30670,2191
3,564949,350160,32480,2411
4,574544,338668,34128,2660
5,584139,327409,35601,2851
6,593210,316557,36935,3298
7,601630,306603,38285,3482
8,610248,295837,40093,3822
9,620814,284147,40899,4140
10,629592,273853,42184,4371
11,638358,263962,43073,4607
12,646046,254967,44061,4926
13,652809,246608,45279,5304
14,659789,238400,46212,5599
15,666754,229200,48300,5746
16,674094,220422,49529,5955
17,681246,211948,50581,6225
18,686385,204866,52131,6618
19,693085,197737,52412,6766
20,699507,189557,53883,7053
21,704296,183477,54820,7407
22,710529,175724,56105,7642
23,715761,168497,57742,8000
24,720431,162327,58889,8353
25,726440,155056,59884,8620
26,728774,150226,62138,8862
27,733617,144263,63397,8723
28,737810,138672,64726,8792
29,742103,133442,65375,9080
30,746687,127747,66227,9339
31,749933,123428,67263,9376
32,753719,118529,68243,9509
33,758121,114269,68258,9352
34,763002,109569,68170,9259
35,766956,105388,68305,9351
36,771784,101727,66781,9708
37,777000,97450,65596,9954
38,782413,93596,64007,9984
39,787544,90003,62300,10153
40,792268,86828,60672,10232
41,797387,82744,59371,10498
42,803021,78960,57451,10568
43,808260,75646,55306,10788
44,812565,72680,53816,10939
45,817350,69548,51955,11147
46,822475,66207,49986,11332
47,827145,63140,48066,11649
48,832587,60072,45774,11567
49,837158,57300,44176,11366
50,841629,54817,41964,11590
51,846205,51981,40225,11589
52,850461,49426,38444,11669
53,854338,47267,36725,11670
54,858729,44965,34835,11471
55,862573,42650,33402,11375
56,866348,40524,31697,11431
57,869955,38787,29876,11382
58,874087,36478,28133,11302
59,877513,34242,26839,11406
60,881326,32228,25196,11250
61,884545,30359,23776,11320
62,887313,28685,22466,11536
63,889695,26982,21588,11735
64,893249,25087,20229,11435
65,895269,24022,19186,11523
66,897246,22998,18043,11713
67,899051,22001,17229,11719
68,900950,20687,16308,12055
69,902828,19704,15352,12116
70,905119,18442,14217,12222
71,906807,17312,13498,12383
72,908454,16436,12840,12270
73,909843,15712,12169,12276
74,911062,14894,11620,12424
75,912307,14002,11145,12546
76,914057,12961,10510,12472
77,915678,12038,9941,12343
78,916635,11503,9307,12555
79,917360,11018,8727,12895
80,918639,10433,8226,12702
81,919604,9830,7827,12739
82,920720,9307,7315,12658
83,921709,8704,6896,12691
84,922411,8208,6668,12713
85,923311,7761,6319,12609
86,924299,7306,5787,12608
87,924813,6940,5502,12745
88,925642,6483,5124,12751
89,926196,6096,4874,12834
90,926946,5668,4653,12733
91,927336,5517,4353,12794
92,927848,5274,4145,12733
93,928512,4870,3936,12682
94,929372,4381,3508,12739
95,929333,4287,3290,13090
96,930152,3897,3140,12811
97,930511,3684,2839,12966
98,930864,3530,2688,12918
99,931144,3492,2665,12699
100,931427,3208,2543,12822
101,931719,3023,2341,12917
102,932070,2901,2261,12768
103,932387,2707,2153,12753
104,933162,2533,1818,12487
105,933639,2380,1678,12303
106,933795,2227,1548,12430
107,933764,2138,1583,12515
108,934352,1940,1525,12183
109,934695,1834,1440,12031
110,934922,1720,1320,12038
111,935051,1572,1190,12187
112,935360,1423,1160,12057
113,935384,1314,1169,12133
114,935691,1263,1136,11910
115,936227,1133,1023,11617
116,936357,1110,972,11561
117,936730,1059,917,11294
118,936752,978,863,11407
119,936831,948,810,11411
120,936740,907,802,11551
121,936903,929,776,11392
122,937055,861,768,11316
123,937352,785,698,11165
124,937370,758,672,11200
125,937618,731,625,11026
126,937604,626,613,11157
127,937806,621,528,11045
128,937991,547,521,10941
129,938180,464,476,10880
130,938004,454,451,11091
131,938268,443,456,10833
132,938436,423,418,10723
133,938371,421,401,10807
134,938498,408,385,10709
135,938607,345,356,10692
136,938607,327,324,10742
137,938508,289,315,10888
138,938613,300,289,10798
139,938397,304,254,11045
140,938581,269,248,10902
141,938489,220,219,11072
142,938375,216,201,11208
143,938255,184,226,11335
144,938301,169,197,11333
145,938421,150,169,11260
146,938543,135,142,11180
147,938265,143,122,11470
148,938399,113,88,11400
149,938559,121,66,11254
150,938660,127,69,11144
151,938694,114,85,11107
152,938602,133,75,11190
153,938544,127,68,11261
154,938845,115,63,10977
155,938653,89,55,11203
156,938618,94,44,11244
157,938594,115,53,11238
158,938584,91,44,11281
159,938458,87,48,11407
160,938274,67,46,11613
161,938107,74,51,11768
162,938311,66,41,11582
163,938323,68,40,11569
164,938350,56,48,11546
165,938385,49,43,11523
166,938364,37,34,11565
167,938563,29,42,11366
168,939005,18,34,10943
169,939125,23,50,10802
170,939161,16,47,10776
171,939278,11,34,10677
172,939301,12,29,10658
173,939535,11,25,10429
174,939653,4,25,10318
175,939493,4,27,10476
176,939529,3,20,10448
177,939654,0,15,10331
178,939603,0,10,10387
179,939810,0,14,10176
180,939456,0,11,10533
181,939424,0,9,10567
182,939535,0,12,10453
183,939624,0,12,10364
184,939692,0,7,10301
185,939607,0,2,10391
186,939643,0,2,10355
187,939576,0,2,10422
188,939439,0,4,10557
189,939429,0,2,10569
190,939469,0,2,10529
191,939396,0,0,10604
