"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,948992,1004,0,4
2,949033,957,1,9
3,949024,964,3,9
4,949038,942,4,16
5,949045,933,1,21
6,949014,952,1,33
7,948994,971,3,32
8,948970,998,7,25
9,948945,1020,10,25
10,948935,1027,11,27
11,948984,982,13,21
12,948980,989,9,22
13,949050,919,5,26
14,949074,891,4,31
15,949069,900,4,27
16,949091,879,2,28
17,949056,917,1,26
18,949066,901,5,28
19,949139,826,5,30
20,949159,810,3,28
21,949154,802,5,39
22,949178,778,4,40
23,949231,725,2,42
24,949243,702,4,51
25,949240,711,2,47
26,949225,720,4,51
27,949206,732,3,59
28,949219,739,1,41
29,949212,729,1,58
30,949246,684,1,69
31,949223,712,1,64
32,949276,671,2,51
33,949271,673,0,56
34,949237,701,0,62
35,949208,726,0,66
36,949196,731,2,71
37,949236,680,2,82
38,949213,708,2,77
39,949235,705,4,56
40,949295,650,8,47
41,949325,613,12,50
42,949314,632,9,45
43,949327,630,7,36
44,949356,606,7,31
45,949342,619,5,34
46,949348,610,8,34
47,949390,562,8,40
48,949364,584,10,42
49,949379,564,12,45
50,949418,538,8,36
51,949429,533,6,32
52,949383,567,6,44
53,949353,606,5,36
54,949370,580,6,44
55,949404,542,7,47
56,949377,570,6,47
57,949374,570,8,48
58,949398,543,10,49
59,949415,530,10,45
60,949415,522,10,53
61,949452,490,12,46
62,949463,493,15,29
63,949442,501,19,38
64,949430,501,21,48
65,949467,469,21,43
66,949496,446,17,41
67,949528,410,15,47
68,949506,437,8,49
69,949490,447,8,55
70,949491,441,15,53
71,949519,402,17,62
72,949503,419,19,59
73,949507,418,17,58
74,949524,414,14,48
75,949523,413,14,50
76,949528,410,15,47
77,949531,408,12,49
78,949556,378,4,62
79,949563,376,4,57
80,949626,310,2,62
81,949641,287,3,69
82,949656,277,4,63
83,949668,268,3,61
84,949667,268,5,60
85,949695,251,1,53
86,949687,266,1,46
87,949700,257,0,43
88,949736,220,1,43
89,949745,215,1,39
90,949744,208,1,47
91,949749,208,0,43
92,949744,192,1,63
93,949756,174,0,70
94,949742,186,0,72
95,949745,173,0,82
96,949756,152,0,92
97,949751,148,0,101
98,949743,149,0,108
99,949764,134,0,102
100,949756,131,0,113
101,949773,124,0,103
102,949792,121,0,87
103,949814,100,0,86
104,949823,99,0,78
105,949824,98,0,78
106,949821,88,2,89
107,949804,91,4,101
108,949829,84,1,86
109,949807,92,5,96
110,949827,78,3,92
111,949832,75,2,91
112,949840,64,0,96
113,949894,39,0,67
114,949893,38,0,69
115,949883,38,0,79
116,949889,34,0,77
117,949894,30,0,76
118,949879,24,0,97
119,949902,24,0,74
120,949912,28,0,60
121,949925,16,0,59
122,949931,14,0,55
123,949952,5,0,43
124,949954,6,0,40
125,949950,3,0,47
126,949939,8,0,53
127,949950,3,0,47
128,949962,1,0,37
129,949970,1,0,29
130,949976,0,0,24
