"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,10822,932886,95,6197
2,10991,931831,133,7045
3,11105,931215,154,7526
4,11234,930343,189,8234
5,11245,929685,234,8836
6,11342,928892,286,9480
7,11386,928209,331,10074
8,11581,927210,406,10803
9,11437,926397,467,11699
10,11509,925706,535,12250
11,11572,924839,599,12990
12,11620,924102,608,13670
13,11700,923249,678,14373
14,11807,922389,700,15104
15,11912,921704,760,15624
16,11926,921087,810,16177
17,12176,920304,857,16663
18,12303,919535,889,17273
19,12316,919058,875,17751
20,12400,918496,887,18217
21,12401,917732,931,18936
22,12405,917116,957,19522
23,12399,916426,910,20265
24,12394,915647,944,21015
25,12343,915098,979,21580
26,12492,913971,1071,22466
27,12554,913412,1150,22884
28,12742,912754,1162,23342
29,12874,911892,1161,24073
30,13050,911317,1114,24519
31,13268,910221,1062,25449
32,13224,909298,1086,26392
33,13250,908287,1154,27309
34,13489,907400,1145,27966
35,13733,906393,1106,28768
36,13847,905985,1070,29098
37,13889,905390,1097,29624
38,14142,904658,1078,30122
39,14375,903657,1150,30818
40,14632,902715,1146,31507
41,14545,902469,1153,31833
42,14755,901811,1148,32286
43,14823,900916,1237,33024
44,14820,900202,1261,33717
45,14939,899648,1229,34184
46,14946,899116,1215,34723
47,15015,898070,1313,35602
48,15138,897208,1340,36314
49,15262,895906,1370,37462
50,15355,895226,1310,38109
51,15492,894473,1363,38672
52,15568,893657,1369,39406
53,15778,892468,1368,40386
54,15863,891523,1373,41241
55,15936,890747,1431,41886
56,16287,889916,1447,42350
57,16436,889074,1422,43068
58,16681,888166,1415,43738
59,16779,887246,1417,44558
60,16916,886450,1498,45136
61,16931,885728,1532,45809
62,16890,884907,1548,46655
63,17013,883841,1494,47652
64,17048,883126,1553,48273
65,17270,881958,1501,49271
66,17401,880681,1447,50471
67,17498,879768,1511,51223
68,17571,878655,1461,52313
69,17729,877316,1459,53496
70,17830,876685,1459,54026
71,17991,875786,1439,54784
72,17869,875106,1513,55512
73,17981,874280,1563,56176
74,18011,873635,1571,56783
75,18167,872668,1523,57642
76,18277,871401,1551,58771
77,18411,870642,1613,59334
78,18733,869679,1523,60065
79,18873,869127,1544,60456
80,19072,867918,1622,61388
81,19120,866809,1583,62488
82,19347,865580,1606,63467
83,19426,864309,1679,64586
84,19501,863499,1704,65296
85,19819,862589,1612,65980
86,19949,861579,1645,66827
87,20075,860555,1682,67688
88,20129,859623,1722,68526
89,20354,858408,1728,69510
90,20381,857735,1702,70182
91,20655,856676,1677,70992
92,20807,855919,1708,71566
93,20790,854959,1805,72446
94,20933,853888,1773,73406
95,20953,853509,1747,73791
96,21046,852734,1741,74479
97,21061,851621,1762,75556
98,21114,851011,1811,76064
99,21470,850330,1860,76340
100,21688,849541,1830,76941
101,21795,848749,1758,77698
102,21976,847305,1828,78891
103,22185,846233,1813,79769
104,22375,845200,1735,80690
105,22553,844089,1764,81594
106,22772,842679,1842,82707
107,22999,841338,1904,83759
108,23045,840571,1889,84495
109,23239,839880,1880,85001
110,23164,839021,1895,85920
111,23115,838181,1905,86799
112,23259,837466,1974,87301
113,23314,836327,2038,88321
114,23503,835204,1926,89367
115,23523,834140,1931,90406
116,23539,833356,1936,91169
117,23902,832177,1908,92013
118,24074,831122,1882,92922
119,24495,830244,1831,93430
120,24593,829277,1801,94329
121,24977,828292,1753,94978
122,25078,827749,1809,95364
123,25308,826474,1939,96279
124,25309,825311,1925,97455
125,25755,823706,1987,98552
126,25855,822392,1961,99792
127,25871,821053,1994,101082
128,25902,819730,1947,102421
129,25949,819183,1905,102963
130,26036,818725,1947,103292
131,26076,817570,1905,104449
132,26277,816370,1988,105365
133,26383,815203,2007,106407
134,26530,813930,1940,107600
135,26519,812925,1964,108592
136,26742,811290,2073,109895
137,27008,809577,2130,111285
138,26998,808661,2107,112234
139,27208,806728,2052,114012
140,27403,805225,2034,115338
141,27681,804063,2065,116191
142,27847,802621,2160,117372
143,28097,802106,2110,117687
144,28293,800932,2209,118566
145,28259,800321,2155,119265
146,28405,799264,2120,120211
147,28386,798288,2110,121216
148,28670,797337,2092,121901
149,28729,796895,2176,122200
150,28731,795742,2257,123270
151,28878,794923,2333,123866
152,29008,793808,2307,124877
153,29150,792856,2281,125713
154,29228,792030,2195,126547
155,29410,791361,2145,127084
156,29669,789832,2090,128409
157,29500,788560,2191,129749
158,29662,787103,2294,130941
159,29992,785388,2324,132296
160,30051,784374,2384,133191
161,29990,783681,2397,133932
162,30310,782016,2378,135296
163,30266,781470,2384,135880
164,30548,780226,2468,136758
165,30494,779751,2410,137345
166,30491,778296,2325,138888
167,30675,777136,2309,139880
168,30845,776277,2332,140546
169,31056,775066,2336,141542
170,31156,773719,2283,142842
171,31271,772212,2277,144240
172,31326,771320,2270,145084
173,31593,770340,2367,145700
174,31671,768952,2353,147024
175,31917,767696,2254,148133
176,32125,766119,2263,149493
177,32520,764906,2292,150282
178,32748,763269,2323,151660
179,32902,762518,2349,152231
180,32997,761656,2402,152945
181,32919,760719,2472,153890
182,33226,759561,2379,154834
183,33332,758456,2378,155834
184,33497,757070,2478,156955
185,33957,755881,2472,157690
186,33998,754864,2462,158676
187,34530,753326,2532,159612
188,34853,751854,2488,160805
189,35055,750450,2561,161934
190,35248,749232,2557,162963
191,35401,747451,2541,164607
192,35797,745419,2606,166178
193,35628,744110,2566,167696
194,35939,741688,2651,169722
195,35949,740776,2626,170649
196,36074,739366,2598,171962
197,36310,737993,2607,173090
198,36699,736748,2456,174097
199,36680,735639,2563,175118
200,37051,733728,2599,176622
201,37177,731956,2534,178333
202,37371,730605,2461,179563
203,37643,729011,2340,181006
204,37713,727660,2177,182450
205,37583,726847,2159,183411
206,37472,725801,2129,184598
207,37709,723867,2194,186230
208,38078,722657,2113,187152
209,38369,721085,2062,188484
210,38568,718835,2089,190508
211,38812,718024,2095,191069
212,38758,716736,2089,192417
213,39107,715027,2143,193723
214,39181,713687,2105,195027
215,39542,712436,2061,195961
216,39603,711471,2115,196811
217,39818,709875,2137,198170
218,39864,708196,2098,199842
219,40078,706263,2079,201580
220,40242,705221,2113,202424
221,40317,704259,2093,203331
222,40792,701920,2161,205127
223,41085,700414,2192,206309
224,41405,698771,2367,207457
225,41305,697253,2356,209086
226,41470,695414,2374,210742
227,41749,693281,2417,212553
228,41952,692235,2406,213407
229,42154,691148,2335,214363
230,42099,689793,2365,215743
231,42145,688740,2498,216617
