"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,548220,370674,28512,2594
2,558471,357816,30882,2831
3,568246,346345,32377,3032
4,578219,334448,34061,3272
5,587924,323075,35539,3462
6,596668,312668,37053,3611
7,605197,302703,38237,3863
8,613762,292706,39482,4050
9,622002,283029,40700,4269
10,630939,273170,41493,4398
11,639588,263375,42480,4557
12,646832,254824,43728,4616
13,654311,245633,45267,4789
14,660883,237377,46671,5069
15,669016,228406,47380,5198
16,675215,220855,48340,5590
17,682989,211975,49457,5579
18,689782,203943,50462,5813
19,695973,196497,51781,5749
20,702175,188898,53005,5922
21,708195,181515,54121,6169
22,713472,174310,55742,6476
23,717612,168732,56915,6741
24,721891,163086,58383,6640
25,727363,156092,59573,6972
26,730950,151124,60781,7145
27,735333,144743,62586,7338
28,739284,139223,64012,7481
29,743252,134386,64794,7568
30,747556,129410,65268,7766
31,750995,125646,65582,7777
32,754295,121034,66772,7899
33,758024,116790,67057,8129
34,763046,112093,66709,8152
35,766858,108324,66644,8174
36,772173,103487,66193,8147
37,778110,98684,64912,8294
38,783527,94232,63828,8413
39,788581,90306,62545,8568
40,794660,86339,60483,8518
41,799776,82918,58679,8627
42,804700,79650,56910,8740
43,809887,75803,55293,9017
44,814805,72817,53468,8910
45,819900,69292,51715,9093
46,824677,66482,49645,9196
47,829429,63212,47855,9504
48,834072,60121,46183,9624
49,838994,57132,44147,9727
50,843987,54402,41803,9808
51,848214,51818,39801,10167
52,852189,49493,38095,10223
53,856831,46888,36068,10213
54,860255,45021,34520,10204
55,863349,43142,33079,10430
56,866958,40817,31623,10602
57,870716,38593,29965,10726
58,874102,36806,28301,10791
59,877688,34641,26768,10903
60,881080,32960,25233,10727
61,884188,31258,23645,10909
62,886546,29717,22564,11173
63,889313,28105,21433,11149
64,891752,26482,20453,11313
65,893883,25234,19446,11437
66,896354,23712,18504,11430
67,898650,22555,17348,11447
68,900760,21167,16550,11523
69,902665,19806,15764,11765
70,904767,18703,14839,11691
71,907063,17325,13904,11708
72,908892,16265,13226,11617
73,910578,15288,12452,11682
74,911945,14459,11830,11766
75,912940,13961,11295,11804
76,914590,12890,10657,11863
77,915848,12231,9989,11932
78,916883,11652,9525,11940
79,918032,11159,8786,12023
80,919236,10382,8413,11969
81,920262,9860,8034,11844
82,920955,9414,7615,12016
83,921991,9023,7083,11903
84,922873,8503,6652,11972
85,923399,8117,6229,12255
86,924364,7663,5925,12048
87,925407,7140,5477,11976
88,926117,6734,5210,11939
89,926898,6447,4903,11752
90,927958,5879,4615,11548
91,928460,5599,4336,11605
92,929067,5234,4079,11620
93,929670,4896,3816,11618
94,930089,4731,3653,11527
95,930358,4447,3486,11709
96,930879,4133,3279,11709
97,931345,3945,3117,11593
98,931855,3623,2902,11620
99,932233,3409,2657,11701
100,932604,3219,2474,11703
101,932664,3068,2306,11962
102,933306,2863,2117,11714
103,933490,2741,2094,11675
104,933717,2598,1933,11752
105,934241,2462,1820,11477
106,934422,2261,1736,11581
107,934642,2084,1639,11635
108,934706,2055,1529,11710
109,934898,1921,1442,11739
110,935195,1847,1395,11563
111,935347,1714,1328,11611
112,935642,1667,1210,11481
113,935613,1629,1140,11618
114,935680,1494,1086,11740
115,935877,1304,1068,11751
116,936021,1176,1017,11786
117,936006,1119,908,11967
118,936152,971,890,11987
119,936479,839,804,11878
120,936733,781,728,11758
121,936934,737,691,11638
122,937304,711,596,11389
123,937431,699,594,11276
124,937652,604,606,11138
125,938094,541,581,10784
126,938072,540,562,10826
127,937856,498,544,11102
128,937885,446,475,11194
129,937987,439,441,11133
130,937952,396,368,11284
131,937921,367,340,11372
132,937828,351,338,11483
133,937834,300,310,11556
134,937673,282,302,11743
135,937764,256,288,11692
136,937905,227,288,11580
137,937920,243,260,11577
138,938265,240,235,11260
139,938179,219,207,11395
140,938083,228,202,11487
141,938002,196,189,11613
142,937867,192,189,11752
143,937777,196,185,11842
144,937766,216,184,11834
145,938071,167,186,11576
146,938200,155,164,11481
147,938401,129,143,11327
148,938371,133,129,11367
149,938225,103,112,11560
150,938134,110,87,11669
151,938299,91,71,11539
152,938229,76,48,11647
153,938348,58,48,11546
154,938288,58,28,11626
155,938513,55,26,11406
156,938635,57,27,11281
157,938694,45,32,11229
158,938603,37,31,11329
159,938529,40,40,11391
160,938750,37,36,11177
161,938781,25,35,11159
162,938503,24,31,11442
163,938437,25,24,11514
164,938548,21,20,11411
165,938528,13,13,11446
166,938386,7,13,11594
167,938438,6,11,11545
168,938432,3,10,11555
169,938531,1,4,11464
170,938393,0,1,11606
171,938594,0,0,11406
