"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,12944,932583,45,4428
2,13152,931458,80,5310
3,13701,930046,55,6198
4,14062,928902,49,6987
5,14591,927589,53,7767
6,15200,926153,54,8593
7,15719,924897,54,9330
8,16326,923435,59,10180
9,16927,921853,71,11149
10,17328,920366,78,12228
11,17885,918739,71,13305
12,18758,916800,75,14367
13,19359,915014,68,15559
14,20165,913203,63,16569
15,20745,911519,68,17668
16,21683,909356,83,18878
17,22003,907811,91,20095
18,22889,905992,99,21020
19,23212,904256,117,22415
20,24140,902117,141,23602
21,24840,899973,157,25030
22,25574,897810,146,26470
23,26264,895473,135,28128
24,27224,892956,135,29685
25,28272,890296,129,31303
26,29195,887748,143,32914
27,30107,885377,154,34362
28,30986,882853,187,35974
29,31854,880284,197,37665
30,33104,877104,203,39589
31,34263,874377,187,41173
32,35515,871702,190,42593
33,36342,869117,225,44316
34,37844,865837,223,46096
35,39052,862790,208,47950
36,40181,859444,245,50130
37,41139,856164,251,52446
38,42134,852733,283,54850
39,43838,848972,300,56890
40,44572,845781,328,59319
41,45998,842547,339,61116
42,46820,839643,335,63202
43,48185,835823,317,65675
44,49289,831958,309,68444
45,50937,827503,304,71256
46,52720,822741,327,74212
47,54568,818295,290,76847
48,56285,813775,266,79674
49,58000,808699,312,82989
50,59587,804768,349,85296
51,61032,800199,339,88430
52,62236,795946,339,91479
53,64572,790507,340,94581
54,66740,785403,349,97508
55,68085,780508,420,100987
56,69379,775866,352,104403
57,70828,770884,332,107956
58,73776,764763,308,111153
59,76061,759783,325,113831
60,78557,753827,290,117326
61,80625,748976,296,120103
62,82711,743928,334,123027
63,84308,738482,392,126818
64,86474,733049,373,130104
65,88326,727606,394,133674
66,90536,721236,386,137842
67,92938,714688,432,141942
68,95114,708472,455,145959
69,97495,701958,449,150098
70,100319,694662,440,154579
71,103204,688078,494,158224
72,106481,681012,480,162027
73,108787,674428,476,166309
74,111218,668061,522,170199
75,113175,661206,521,175098
76,116202,653887,533,179378
77,118651,646300,558,184491
78,121640,639220,553,188587
79,124450,631901,549,193100
80,126802,624649,545,198004
81,129540,617622,535,202303
82,132384,610781,552,206283
83,134047,603459,519,211975
84,136830,595019,476,217675
85,139321,588047,462,222170
86,143383,579771,489,226357
87,146292,570981,468,232259
88,149636,563035,478,236851
89,152675,555130,467,241728
90,154908,547586,435,247071
91,158065,538998,469,252468
92,160241,531733,500,257526
93,163650,523744,508,262098
94,167163,515320,479,267038
95,169833,507441,464,272262
96,172877,498691,484,277948
97,175418,490974,501,283107
98,177457,483685,470,288388
99,180091,476897,462,292550
100,183805,467716,470,298009
101,186499,458321,477,304703
102,189348,449380,440,310832
103,192427,440778,416,316379
104,195035,433940,406,320619
105,197259,426542,392,325807
106,201167,417866,403,330564
107,204060,410226,371,335343
108,206730,402675,361,340234
109,209422,395210,354,345014
110,212453,387561,369,349617
111,215022,379912,364,354702
112,217283,372761,302,359654
113,219978,365407,295,364320
114,223045,358637,261,368057
115,226156,351108,219,372517
116,229177,343925,231,376667
117,232201,336297,235,381267
118,235680,328716,243,385361
119,237626,321833,230,390311
120,240181,316407,216,393196
121,243222,309315,254,397209
122,245994,301281,245,402480
123,248856,294348,220,406576
124,250868,287757,239,411136
125,253542,281654,221,414583
126,255102,275940,241,418717
127,257392,269838,206,422564
128,260598,263062,216,426124
129,263472,257040,216,429272
130,264850,251516,206,433428
131,267001,246307,214,436478
132,268802,240787,189,440222
133,271191,234236,222,444351
134,273768,228077,215,447940
135,275900,223096,195,450809
136,276415,218229,166,455190
137,278829,212435,179,458557
138,281314,207338,168,461180
139,283451,201574,162,464813
140,285651,195904,150,468295
141,286645,191372,161,471822
142,289277,186449,139,474135
143,291721,181037,111,477131
144,293481,176427,118,479974
145,295468,170640,114,483778
146,297014,165982,108,486896
147,297533,161775,105,490587
148,298514,157159,103,494224
149,300314,152878,73,496735
150,303235,148884,93,497788
151,304517,144848,78,500557
152,305597,140691,89,503623
153,306830,137366,76,505728
154,308153,133457,61,508329
155,309415,130301,73,510211
156,311541,126601,68,511790
157,312984,122972,62,513982
158,314156,119854,57,515933
159,315575,116799,61,517565
160,316967,112708,67,520258
161,317273,108561,68,524098
162,318973,105240,62,525725
163,320251,102153,61,527535
164,320999,98489,70,530442
165,322705,95255,66,531974
166,324246,92399,70,533285
167,325952,89404,64,534580
168,328116,86454,60,535370
169,329121,83113,59,537707
170,330183,80654,59,539104
171,331760,78105,57,540078
172,333310,75773,51,540866
173,334696,73177,47,542080
174,334721,71726,44,543509
175,336215,69202,27,544556
176,337995,67398,26,544581
177,338266,65558,21,546155
178,338225,63433,17,548325
179,340061,61509,12,548418
180,340875,59522,12,549591
181,341408,57730,17,550845
182,341659,55910,20,552411
183,342407,54374,13,553206
184,343915,52325,20,553740
185,343634,50500,14,555852
186,345287,48533,20,556160
187,345465,46630,24,557881
188,347347,45202,18,557433
189,347664,43937,13,558386
190,348036,43101,17,558846
191,347536,41608,14,560842
192,348997,40729,12,560262
193,348832,39519,12,561637
194,348662,37986,14,563338
195,348303,36762,16,564919
196,348954,35699,18,565329
